"typeSeason","slugSeason","idGame","dateGame","slugMatchup","slugTeamWinner","slugTeamLoser","numberGameDay","vh","home_team_short","away_team_short","home_Final","away_Final","Close","Actual"
"Regular Season","1996-97",29600001,1996-11-01,"BOS vs. CHI","CHI","BOS",1,"vs","BOS","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600002,1996-11-01,"CLE @ NJN","CLE","NJN",2,"@ ","NJN","CLE",NA,NA,NA,NA
"Regular Season","1996-97",29600003,1996-11-01,"MIL @ PHI","MIL","PHI",3,"@ ","PHI","MIL",NA,NA,NA,NA
"Regular Season","1996-97",29600004,1996-11-01,"ORL vs. WAS","WAS","ORL",4,"vs","ORL","WAS",NA,NA,NA,NA
"Regular Season","1996-97",29600005,1996-11-01,"ATL @ MIA","MIA","ATL",5,"@ ","MIA","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600006,1996-11-01,"TOR vs. NYK","NYK","TOR",6,"vs","TOR","NYK",NA,NA,NA,NA
"Regular Season","1996-97",29600007,1996-11-01,"DET vs. IND","DET","IND",7,"vs","DET","IND",NA,NA,NA,NA
"Regular Season","1996-97",29600008,1996-11-01,"MIN vs. SAS","MIN","SAS",8,"vs","MIN","SAS",NA,NA,NA,NA
"Regular Season","1996-97",29600009,1996-11-01,"SAC @ HOU","HOU","SAC",9,"@ ","HOU","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600010,1996-11-01,"DEN vs. DAL","DAL","DEN",10,"vs","DEN","DAL",NA,NA,NA,NA
"Regular Season","1996-97",29600011,1996-11-01,"SEA @ UTA","UTA","SEA",11,"@ ","UTA","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600012,1996-11-01,"PHX @ LAL","LAL","PHX",12,"@ ","LAL","PHX",NA,NA,NA,NA
"Regular Season","1996-97",29600013,1996-11-01,"GSW vs. LAC","LAC","GSW",13,"vs","GSW","LAC",NA,NA,NA,NA
"Regular Season","1996-97",29600014,1996-11-01,"VAN vs. POR","POR","VAN",14,"vs","VAN","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600015,1996-11-02,"CLE @ WAS","CLE","WAS",1,"@ ","WAS","CLE",NA,NA,NA,NA
"Regular Season","1996-97",29600016,1996-11-02,"CHH vs. TOR","CHH","TOR",2,"vs","CHH","TOR",NA,NA,NA,NA
"Regular Season","1996-97",29600017,1996-11-02,"ATL vs. DET","DET","ATL",3,"vs","ATL","DET",NA,NA,NA,NA
"Regular Season","1996-97",29600018,1996-11-02,"IND vs. MIA","MIA","IND",4,"vs","IND","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600019,1996-11-02,"CHI vs. PHI","CHI","PHI",5,"vs","CHI","PHI",NA,NA,NA,NA
"Regular Season","1996-97",29600020,1996-11-02,"MIL vs. BOS","MIL","BOS",6,"vs","MIL","BOS",NA,NA,NA,NA
"Regular Season","1996-97",29600021,1996-11-02,"DAL vs. SAC","SAC","DAL",7,"vs","DAL","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600022,1996-11-02,"PHX vs. HOU","HOU","PHX",8,"vs","PHX","HOU",NA,NA,NA,NA
"Regular Season","1996-97",29600023,1996-11-02,"LAC vs. UTA","UTA","LAC",9,"vs","LAC","UTA",NA,NA,NA,NA
"Regular Season","1996-97",29600024,1996-11-02,"SEA vs. POR","SEA","POR",10,"vs","SEA","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600025,1996-11-03,"CHH @ NYK","NYK","CHH",1,"@ ","NYK","CHH",NA,NA,NA,NA
"Regular Season","1996-97",29600026,1996-11-03,"DEN @ SAS","DEN","SAS",2,"@ ","SAS","DEN",NA,NA,NA,NA
"Regular Season","1996-97",29600027,1996-11-03,"MIN @ LAL","LAL","MIN",3,"@ ","LAL","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600028,1996-11-03,"GSW @ VAN","GSW","VAN",4,"@ ","VAN","GSW",NA,NA,NA,NA
"Regular Season","1996-97",29600029,1996-11-04,"HOU @ UTA","HOU","UTA",1,"@ ","UTA","HOU",NA,NA,NA,NA
"Regular Season","1996-97",29600030,1996-11-04,"ATL @ POR","ATL","POR",2,"@ ","POR","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600031,1996-11-05,"NYK vs. LAL","LAL","NYK",1,"vs","NYK","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600032,1996-11-05,"DET @ PHI","DET","PHI",2,"@ ","PHI","DET",NA,NA,NA,NA
"Regular Season","1996-97",29600033,1996-11-05,"TOR vs. DAL","TOR","DAL",3,"vs","TOR","DAL",NA,NA,NA,NA
"Regular Season","1996-97",29600034,1996-11-05,"SAS @ CLE","SAS","CLE",4,"@ ","CLE","SAS",NA,NA,NA,NA
"Regular Season","1996-97",29600035,1996-11-05,"CHI vs. VAN","CHI","VAN",5,"vs","CHI","VAN",NA,NA,NA,NA
"Regular Season","1996-97",29600036,1996-11-05,"DEN vs. LAC","LAC","DEN",6,"vs","DEN","LAC",NA,NA,NA,NA
"Regular Season","1996-97",29600037,1996-11-05,"PHX vs. MIN","MIN","PHX",7,"vs","PHX","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600038,1996-11-05,"POR @ GSW","POR","GSW",8,"@ ","GSW","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600039,1996-11-05,"SAC vs. HOU","HOU","SAC",9,"vs","SAC","HOU",NA,NA,NA,NA
"Regular Season","1996-97",29600040,1996-11-05,"ATL @ SEA","ATL","SEA",10,"@ ","SEA","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600041,1996-11-06,"BOS vs. IND","BOS","IND",1,"vs","BOS","IND",NA,NA,NA,NA
"Regular Season","1996-97",29600042,1996-11-06,"SAS @ WAS","WAS","SAS",2,"@ ","WAS","SAS",NA,NA,NA,NA
"Regular Season","1996-97",29600043,1996-11-06,"MIA vs. CHI","CHI","MIA",3,"vs","MIA","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600044,1996-11-06,"CHH vs. LAL","CHH","LAL",4,"vs","CHH","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600045,1996-11-06,"DAL @ DET","DET","DAL",5,"@ ","DET","DAL",NA,NA,NA,NA
"Regular Season","1996-97",29600046,1996-11-06,"VAN @ MIL","MIL","VAN",6,"@ ","MIL","VAN",NA,NA,NA,NA
"Regular Season","1996-97",29600047,1996-11-07,"NJN vs. ORL","ORL","NJN",1,"vs","NJN","ORL",NA,NA,NA,NA
"Regular Season","1996-97",29600048,1996-11-07,"DEN vs. HOU","HOU","DEN",2,"vs","DEN","HOU",NA,NA,NA,NA
"Regular Season","1996-97",29600049,1996-11-07,"SEA @ PHX","SEA","PHX",3,"@ ","PHX","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600050,1996-11-07,"NYK @ GSW","NYK","GSW",4,"@ ","GSW","NYK",NA,NA,NA,NA
"Regular Season","1996-97",29600051,1996-11-07,"SAC vs. ATL","ATL","SAC",5,"vs","SAC","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600052,1996-11-07,"MIN @ POR","POR","MIN",6,"@ ","POR","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600053,1996-11-08,"BOS vs. PHI","PHI","BOS",1,"vs","BOS","PHI",NA,NA,NA,NA
"Regular Season","1996-97",29600054,1996-11-08,"CHH @ WAS","CHH","WAS",2,"@ ","WAS","CHH",NA,NA,NA,NA
"Regular Season","1996-97",29600055,1996-11-08,"ORL vs. NJN","ORL","NJN",3,"vs","ORL","NJN",NA,NA,NA,NA
"Regular Season","1996-97",29600056,1996-11-08,"MIA vs. MIL","MIA","MIL",4,"vs","MIA","MIL",NA,NA,NA,NA
"Regular Season","1996-97",29600057,1996-11-08,"TOR vs. LAL","TOR","LAL",5,"vs","TOR","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600058,1996-11-08,"CLE vs. VAN","CLE","VAN",6,"vs","CLE","VAN",NA,NA,NA,NA
"Regular Season","1996-97",29600059,1996-11-08,"CHI @ DET","CHI","DET",7,"@ ","DET","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600060,1996-11-08,"SAS vs. SEA","SEA","SAS",8,"vs","SAS","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600061,1996-11-08,"GSW @ DEN","DEN","GSW",9,"@ ","DEN","GSW",NA,NA,NA,NA
"Regular Season","1996-97",29600062,1996-11-08,"NYK @ LAC","NYK","LAC",10,"@ ","LAC","NYK",NA,NA,NA,NA
"Regular Season","1996-97",29600063,1996-11-09,"PHI vs. PHX","PHI","PHX",1,"vs","PHI","PHX",NA,NA,NA,NA
"Regular Season","1996-97",29600064,1996-11-09,"CHH vs. MIL","MIL","CHH",2,"vs","CHH","MIL",NA,NA,NA,NA
"Regular Season","1996-97",29600065,1996-11-09,"WAS @ IND","IND","WAS",3,"@ ","IND","WAS",NA,NA,NA,NA
"Regular Season","1996-97",29600066,1996-11-09,"BOS @ CHI","CHI","BOS",4,"@ ","CHI","BOS",NA,NA,NA,NA
"Regular Season","1996-97",29600067,1996-11-09,"DAL vs. MIA","MIA","DAL",5,"vs","DAL","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600068,1996-11-09,"UTA @ HOU","HOU","UTA",6,"@ ","HOU","UTA",NA,NA,NA,NA
"Regular Season","1996-97",29600069,1996-11-09,"SAC vs. POR","SAC","POR",7,"vs","SAC","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600070,1996-11-10,"CLE vs. DEN","CLE","DEN",1,"vs","CLE","DEN",NA,NA,NA,NA
"Regular Season","1996-97",29600071,1996-11-10,"LAC vs. MIN","LAC","MIN",2,"vs","LAC","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600072,1996-11-10,"LAL vs. ATL","LAL","ATL",3,"vs","LAL","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600073,1996-11-10,"POR vs. SAS","POR","SAS",4,"vs","POR","SAS",NA,NA,NA,NA
"Regular Season","1996-97",29600074,1996-11-10,"NYK @ VAN","NYK","VAN",5,"@ ","VAN","NYK",NA,NA,NA,NA
"Regular Season","1996-97",29600075,1996-11-11,"DEN @ TOR","DEN","TOR",1,"@ ","TOR","DEN",NA,NA,NA,NA
"Regular Season","1996-97",29600076,1996-11-11,"PHX @ CHI","CHI","PHX",2,"@ ","CHI","PHX",NA,NA,NA,NA
"Regular Season","1996-97",29600078,1996-11-11,"SAC vs. SEA","SEA","SAC",3,"vs","SAC","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600079,1996-11-12,"PHI @ NYK","PHI","NYK",1,"@ ","NYK","PHI",NA,NA,NA,NA
"Regular Season","1996-97",29600080,1996-11-12,"DET @ WAS","DET","WAS",2,"@ ","WAS","DET",NA,NA,NA,NA
"Regular Season","1996-97",29600081,1996-11-12,"MIA vs. CHH","MIA","CHH",3,"vs","MIA","CHH",NA,NA,NA,NA
"Regular Season","1996-97",29600082,1996-11-12,"ATL vs. CLE","ATL","CLE",4,"vs","ATL","CLE",NA,NA,NA,NA
"Regular Season","1996-97",29600083,1996-11-12,"MIL vs. PHX","MIL","PHX",5,"vs","MIL","PHX",NA,NA,NA,NA
"Regular Season","1996-97",29600084,1996-11-12,"MIN vs. POR","MIN","POR",6,"vs","MIN","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600085,1996-11-12,"DAL vs. IND","DAL","IND",7,"vs","DAL","IND",NA,NA,NA,NA
"Regular Season","1996-97",29600086,1996-11-12,"LAL @ HOU","LAL","HOU",8,"@ ","HOU","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600087,1996-11-12,"SEA vs. GSW","SEA","GSW",9,"vs","SEA","GSW",NA,NA,NA,NA
"Regular Season","1996-97",29600088,1996-11-12,"VAN vs. LAC","LAC","VAN",10,"vs","VAN","LAC",NA,NA,NA,NA
"Regular Season","1996-97",29600089,1996-11-13,"BOS vs. ATL","BOS","ATL",1,"vs","BOS","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600090,1996-11-13,"WAS @ NJN","WAS","NJN",2,"@ ","NJN","WAS",NA,NA,NA,NA
"Regular Season","1996-97",29600091,1996-11-13,"TOR vs. PHI","TOR","PHI",3,"vs","TOR","PHI",NA,NA,NA,NA
"Regular Season","1996-97",29600092,1996-11-13,"POR @ CLE","CLE","POR",4,"@ ","CLE","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600093,1996-11-13,"DET vs. DEN","DET","DEN",5,"vs","DET","DEN",NA,NA,NA,NA
"Regular Season","1996-97",29600094,1996-11-13,"CHI vs. MIA","CHI","MIA",6,"vs","CHI","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600095,1996-11-13,"SAS vs. LAL","SAS","LAL",7,"vs","SAS","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600096,1996-11-13,"SAC @ UTA","UTA","SAC",8,"@ ","UTA","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600097,1996-11-14,"TOR @ NYK","NYK","TOR",1,"@ ","NYK","TOR",NA,NA,NA,NA
"Regular Season","1996-97",29600098,1996-11-14,"CHH @ ORL","ORL","CHH",2,"@ ","ORL","CHH",NA,NA,NA,NA
"Regular Season","1996-97",29600099,1996-11-14,"DAL @ MIN","MIN","DAL",3,"@ ","MIN","DAL",NA,NA,NA,NA
"Regular Season","1996-97",29600100,1996-11-14,"HOU vs. IND","HOU","IND",4,"vs","HOU","IND",NA,NA,NA,NA
"Regular Season","1996-97",29600101,1996-11-14,"LAC vs. SEA","SEA","LAC",5,"vs","LAC","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600102,1996-11-14,"GSW vs. MIL","GSW","MIL",6,"vs","GSW","MIL",NA,NA,NA,NA
"Regular Season","1996-97",29600103,1996-11-14,"PHX @ VAN","VAN","PHX",7,"@ ","VAN","PHX",NA,NA,NA,NA
"Regular Season","1996-97",29600104,1996-11-15,"DEN @ BOS","DEN","BOS",1,"@ ","BOS","DEN",NA,NA,NA,NA
"Regular Season","1996-97",29600105,1996-11-15,"NJN vs. POR","POR","NJN",2,"vs","NJN","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600106,1996-11-15,"PHI vs. CLE","CLE","PHI",3,"vs","PHI","CLE",NA,NA,NA,NA
"Regular Season","1996-97",29600107,1996-11-15,"CHH vs. CHI","CHI","CHH",4,"vs","CHH","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600108,1996-11-15,"MIA @ ATL","ATL","MIA",5,"@ ","ATL","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600109,1996-11-15,"WAS @ DET","DET","WAS",6,"@ ","DET","WAS",NA,NA,NA,NA
"Regular Season","1996-97",29600110,1996-11-15,"IND @ SAS","IND","SAS",7,"@ ","SAS","IND",NA,NA,NA,NA
"Regular Season","1996-97",29600111,1996-11-15,"VAN @ UTA","UTA","VAN",8,"@ ","UTA","VAN",NA,NA,NA,NA
"Regular Season","1996-97",29600112,1996-11-15,"LAC @ LAL","LAL","LAC",9,"@ ","LAL","LAC",NA,NA,NA,NA
"Regular Season","1996-97",29600113,1996-11-15,"MIL @ SAC","SAC","MIL",10,"@ ","SAC","MIL",NA,NA,NA,NA
"Regular Season","1996-97",29600114,1996-11-16,"NYK vs. MIN","NYK","MIN",1,"vs","NYK","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600115,1996-11-16,"NJN vs. DEN","NJN","DEN",2,"vs","NJN","DEN",NA,NA,NA,NA
"Regular Season","1996-97",29600116,1996-11-16,"WAS vs. BOS","WAS","BOS",3,"vs","WAS","BOS",NA,NA,NA,NA
"Regular Season","1996-97",29600117,1996-11-16,"ORL vs. TOR","ORL","TOR",4,"vs","ORL","TOR",NA,NA,NA,NA
"Regular Season","1996-97",29600118,1996-11-16,"MIA vs. PHI","PHI","MIA",5,"vs","MIA","PHI",NA,NA,NA,NA
"Regular Season","1996-97",29600119,1996-11-16,"DET @ CLE","DET","CLE",6,"@ ","CLE","DET",NA,NA,NA,NA
"Regular Season","1996-97",29600120,1996-11-16,"CHI vs. ATL","CHI","ATL",7,"vs","CHI","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600121,1996-11-16,"DAL vs. UTA","UTA","DAL",8,"vs","DAL","UTA",NA,NA,NA,NA
"Regular Season","1996-97",29600122,1996-11-16,"HOU vs. GSW","HOU","GSW",9,"vs","HOU","GSW",NA,NA,NA,NA
"Regular Season","1996-97",29600123,1996-11-16,"SAC @ SEA","SEA","SAC",10,"@ ","SEA","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600124,1996-11-17,"POR @ IND","POR","IND",1,"@ ","IND","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600125,1996-11-17,"SAS vs. GSW","GSW","SAS",2,"vs","SAS","GSW",NA,NA,NA,NA
"Regular Season","1996-97",29600126,1996-11-17,"LAL @ PHX","LAL","PHX",3,"@ ","PHX","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600127,1996-11-17,"LAC vs. MIL","LAC","MIL",4,"vs","LAC","MIL",NA,NA,NA,NA
"Regular Season","1996-97",29600128,1996-11-17,"VAN @ SEA","SEA","VAN",5,"@ ","SEA","VAN",NA,NA,NA,NA
"Regular Season","1996-97",29600129,1996-11-18,"SAC @ VAN","SAC","VAN",1,"@ ","VAN","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600130,1996-11-19,"ORL vs. NYK","NYK","ORL",1,"vs","ORL","NYK",NA,NA,NA,NA
"Regular Season","1996-97",29600131,1996-11-19,"SEA @ TOR","SEA","TOR",2,"@ ","TOR","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600132,1996-11-19,"ATL @ CLE","CLE","ATL",3,"@ ","CLE","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600133,1996-11-19,"DAL @ MIL","MIL","DAL",4,"@ ","MIL","DAL",NA,NA,NA,NA
"Regular Season","1996-97",29600134,1996-11-19,"MIN @ HOU","HOU","MIN",5,"@ ","HOU","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600135,1996-11-19,"MIA @ DEN","MIA","DEN",6,"@ ","DEN","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600136,1996-11-19,"LAL @ GSW","LAL","GSW",7,"@ ","GSW","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600137,1996-11-19,"POR vs. SAC","POR","SAC",8,"vs","POR","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600138,1996-11-20,"BOS vs. DET","DET","BOS",1,"vs","BOS","DET",NA,NA,NA,NA
"Regular Season","1996-97",29600139,1996-11-20,"PHI vs. IND","IND","PHI",2,"vs","PHI","IND",NA,NA,NA,NA
"Regular Season","1996-97",29600140,1996-11-20,"SEA @ WAS","SEA","WAS",3,"@ ","WAS","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600141,1996-11-20,"CHH vs. NYK","CHH","NYK",4,"vs","CHH","NYK",NA,NA,NA,NA
"Regular Season","1996-97",29600142,1996-11-20,"LAC @ SAS","LAC","SAS",5,"@ ","SAS","LAC",NA,NA,NA,NA
"Regular Season","1996-97",29600143,1996-11-20,"PHX vs. CHI","CHI","PHX",6,"vs","PHX","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600144,1996-11-20,"UTA @ LAL","UTA","LAL",7,"@ ","LAL","UTA",NA,NA,NA,NA
"Regular Season","1996-97",29600145,1996-11-20,"MIA @ VAN","MIA","VAN",8,"@ ","VAN","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600146,1996-11-21,"ORL vs. MIN","ORL","MIN",1,"vs","ORL","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600147,1996-11-21,"TOR vs. CLE","CLE","TOR",2,"vs","TOR","CLE",NA,NA,NA,NA
"Regular Season","1996-97",29600148,1996-11-21,"NJN @ DET","DET","NJN",3,"@ ","DET","NJN",NA,NA,NA,NA
"Regular Season","1996-97",29600149,1996-11-21,"CHH @ IND","CHH","IND",4,"@ ","IND","CHH",NA,NA,NA,NA
"Regular Season","1996-97",29600150,1996-11-21,"MIL vs. ATL","ATL","MIL",5,"vs","MIL","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600151,1996-11-21,"DAL vs. LAC","DAL","LAC",6,"vs","DAL","LAC",NA,NA,NA,NA
"Regular Season","1996-97",29600152,1996-11-21,"PHX @ HOU","HOU","PHX",7,"@ ","HOU","PHX",NA,NA,NA,NA
"Regular Season","1996-97",29600153,1996-11-21,"CHI @ DEN","CHI","DEN",8,"@ ","DEN","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600154,1996-11-21,"UTA vs. GSW","UTA","GSW",9,"vs","UTA","GSW",NA,NA,NA,NA
"Regular Season","1996-97",29600155,1996-11-22,"BOS vs. SEA","SEA","BOS",1,"vs","BOS","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600156,1996-11-22,"PHI @ WAS","WAS","PHI",2,"@ ","WAS","PHI",NA,NA,NA,NA
"Regular Season","1996-97",29600157,1996-11-22,"LAL vs. SAS","LAL","SAS",3,"vs","LAL","SAS",NA,NA,NA,NA
"Regular Season","1996-97",29600158,1996-11-22,"MIA @ SAC","MIA","SAC",4,"@ ","SAC","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600159,1996-11-23,"DAL @ NJN","NJN","DAL",1,"@ ","NJN","DAL",NA,NA,NA,NA
"Regular Season","1996-97",29600160,1996-11-23,"PHI vs. NYK","PHI","NYK",2,"vs","PHI","NYK",NA,NA,NA,NA
"Regular Season","1996-97",29600161,1996-11-23,"CHH vs. DET","CHH","DET",3,"vs","CHH","DET",NA,NA,NA,NA
"Regular Season","1996-97",29600162,1996-11-23,"TOR vs. ATL","ATL","TOR",4,"vs","TOR","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600163,1996-11-23,"IND vs. ORL","ORL","IND",5,"vs","IND","ORL",NA,NA,NA,NA
"Regular Season","1996-97",29600164,1996-11-23,"WAS @ MIL","WAS","MIL",6,"@ ","MIL","WAS",NA,NA,NA,NA
"Regular Season","1996-97",29600165,1996-11-23,"MIN vs. LAC","MIN","LAC",7,"vs","MIN","LAC",NA,NA,NA,NA
"Regular Season","1996-97",29600166,1996-11-23,"UTA vs. CHI","UTA","CHI",8,"vs","UTA","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600167,1996-11-23,"GSW vs. HOU","HOU","GSW",9,"vs","GSW","HOU",NA,NA,NA,NA
"Regular Season","1996-97",29600168,1996-11-23,"DEN @ POR","POR","DEN",10,"@ ","POR","DEN",NA,NA,NA,NA
"Regular Season","1996-97",29600169,1996-11-24,"BOS vs. DAL","BOS","DAL",1,"vs","BOS","DAL",NA,NA,NA,NA
"Regular Season","1996-97",29600170,1996-11-24,"SEA @ NYK","SEA","NYK",2,"@ ","NYK","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600171,1996-11-24,"CLE vs. SAC","CLE","SAC",3,"vs","CLE","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600172,1996-11-24,"MIA @ PHX","MIA","PHX",4,"@ ","PHX","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600173,1996-11-24,"LAL vs. HOU","HOU","LAL",5,"vs","LAL","HOU",NA,NA,NA,NA
"Regular Season","1996-97",29600174,1996-11-24,"VAN vs. SAS","VAN","SAS",6,"vs","VAN","SAS",NA,NA,NA,NA
"Regular Season","1996-97",29600175,1996-11-25,"MIN @ WAS","WAS","MIN",1,"@ ","WAS","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600176,1996-11-25,"ORL vs. MIL","MIL","ORL",2,"vs","ORL","MIL",NA,NA,NA,NA
"Regular Season","1996-97",29600177,1996-11-25,"UTA vs. NJN","UTA","NJN",3,"vs","UTA","NJN",NA,NA,NA,NA
"Regular Season","1996-97",29600178,1996-11-25,"LAC vs. CHI","CHI","LAC",4,"vs","LAC","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600179,1996-11-26,"LAL @ PHI","LAL","PHI",1,"@ ","PHI","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600180,1996-11-26,"CHH vs. SEA","CHH","SEA",2,"vs","CHH","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600181,1996-11-26,"ATL vs. VAN","ATL","VAN",3,"vs","ATL","VAN",NA,NA,NA,NA
"Regular Season","1996-97",29600182,1996-11-26,"SAC @ TOR","SAC","TOR",4,"@ ","TOR","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600183,1996-11-26,"SAS @ DAL","DAL","SAS",5,"@ ","DAL","SAS",NA,NA,NA,NA
"Regular Season","1996-97",29600184,1996-11-26,"HOU vs. POR","HOU","POR",6,"vs","HOU","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600185,1996-11-26,"PHX @ DEN","DEN","PHX",7,"@ ","DEN","PHX",NA,NA,NA,NA
"Regular Season","1996-97",29600186,1996-11-26,"MIA @ GSW","MIA","GSW",8,"@ ","GSW","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600187,1996-11-27,"LAL @ BOS","BOS","LAL",1,"@ ","BOS","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600188,1996-11-27,"ORL vs. ATL","ORL","ATL",2,"vs","ORL","ATL",NA,NA,NA,NA
"Regular Season","1996-97",29600189,1996-11-27,"TOR vs. CHH","TOR","CHH",3,"vs","TOR","CHH",NA,NA,NA,NA
"Regular Season","1996-97",29600190,1996-11-27,"DET vs. VAN","DET","VAN",4,"vs","DET","VAN",NA,NA,NA,NA
"Regular Season","1996-97",29600191,1996-11-27,"CLE @ MIL","MIL","CLE",5,"@ ","MIL","CLE",NA,NA,NA,NA
"Regular Season","1996-97",29600192,1996-11-27,"SEA @ MIN","SEA","MIN",6,"@ ","MIN","SEA",NA,NA,NA,NA
"Regular Season","1996-97",29600193,1996-11-27,"POR @ SAS","POR","SAS",7,"@ ","SAS","POR",NA,NA,NA,NA
"Regular Season","1996-97",29600194,1996-11-27,"UTA vs. DEN","UTA","DEN",8,"vs","UTA","DEN",NA,NA,NA,NA
"Regular Season","1996-97",29600195,1996-11-27,"PHX vs. NJN","PHX","NJN",9,"vs","PHX","NJN",NA,NA,NA,NA
"Regular Season","1996-97",29600196,1996-11-27,"MIA @ LAC","MIA","LAC",10,"@ ","LAC","MIA",NA,NA,NA,NA
"Regular Season","1996-97",29600197,1996-11-28,"IND vs. SAC","IND","SAC",1,"vs","IND","SAC",NA,NA,NA,NA
"Regular Season","1996-97",29600198,1996-11-28,"GSW vs. NJN","GSW","NJN",2,"vs","GSW","NJN",NA,NA,NA,NA
"Regular Season","1996-97",29600199,1996-11-29,"HOU @ BOS","HOU","BOS",1,"@ ","BOS","HOU",NA,NA,NA,NA
"Regular Season","1996-97",29600200,1996-11-29,"ORL @ PHI","PHI","ORL",2,"@ ","PHI","ORL",NA,NA,NA,NA
"Regular Season","1996-97",29600201,1996-11-29,"WAS @ ATL","ATL","WAS",3,"@ ","ATL","WAS",NA,NA,NA,NA
"Regular Season","1996-97",29600202,1996-11-29,"DET vs. LAL","LAL","DET",4,"vs","DET","LAL",NA,NA,NA,NA
"Regular Season","1996-97",29600203,1996-11-29,"IND vs. VAN","IND","VAN",5,"vs","IND","VAN",NA,NA,NA,NA
"Regular Season","1996-97",29600204,1996-11-29,"CHI @ DAL","CHI","DAL",6,"@ ","DAL","CHI",NA,NA,NA,NA
"Regular Season","1996-97",29600205,1996-11-29,"DEN vs. MIN","MIN","DEN",7,"vs","DEN","MIN",NA,NA,NA,NA
"Regular Season","1996-97",29600206,1996-11-29,"UTA vs. LAC","UTA","LAC",8,"vs","UTA","LAC",NA,NA,NA,NA
"Regular Season","1996-97",29600207,1996-11-29,"POR vs. GSW","POR","GSW",9,"vs","POR","GSW",NA,NA,NA,NA
